ID,Citywide,Core,Congestion_Zone,Sub_Midtown,Midtown,Non_Core,CBD,Airports
180,Yes,No,No,No,No,Yes,No,No
181,Yes,No,No,No,No,Yes,No,No
182,Yes,No,No,No,No,Yes,No,No
183,Yes,No,No,No,No,Yes,No,No
184,Yes,No,No,No,No,Yes,No,No
185,Yes,No,No,No,No,Yes,No,No
186,Yes,Yes,Yes,Yes,No,No,Yes,No
187,Yes,No,No,No,No,Yes,No,No
188,Yes,No,No,No,No,Yes,No,No
189,Yes,No,No,No,No,Yes,No,No
190,Yes,No,No,No,No,Yes,No,No
191,Yes,No,No,No,No,Yes,No,No
192,Yes,No,No,No,No,Yes,No,No
193,Yes,No,No,No,No,Yes,No,No
194,Yes,Yes,Yes,No,No,No,No,No
195,Yes,No,No,No,No,Yes,No,No
196,Yes,No,No,No,No,Yes,No,No
197,Yes,No,No,No,No,Yes,No,No
198,Yes,No,No,No,No,Yes,No,No
199,Yes,No,No,No,No,Yes,No,No
200,Yes,No,No,No,No,Yes,No,No
201,Yes,No,No,No,No,Yes,No,No
202,Yes,No,No,No,No,Yes,No,No
203,Yes,No,No,No,No,Yes,No,No
204,Yes,No,No,No,No,Yes,No,No
205,Yes,No,No,No,No,Yes,No,No
206,Yes,No,No,No,No,Yes,No,No
207,Yes,No,No,No,No,Yes,No,No
208,Yes,No,No,No,No,Yes,No,No
209,Yes,Yes,Yes,No,No,No,Yes,No
210,Yes,No,No,No,No,Yes,No,No
211,Yes,Yes,Yes,No,No,No,Yes,No
212,Yes,No,No,No,No,Yes,No,No
213,Yes,No,No,No,No,Yes,No,No
214,Yes,No,No,No,No,Yes,No,No
215,Yes,No,No,No,No,Yes,No,No
216,Yes,No,No,No,No,Yes,No,No
217,Yes,No,No,No,No,Yes,No,No
218,Yes,No,No,No,No,Yes,No,No
219,Yes,No,No,No,No,Yes,No,No
220,Yes,No,No,No,No,Yes,No,No
221,Yes,No,No,No,No,Yes,No,No
222,Yes,No,No,No,No,Yes,No,No
223,Yes,No,No,No,No,Yes,No,No
224,Yes,Yes,Yes,Yes,No,No,Yes,No
225,Yes,No,No,No,No,Yes,No,No
226,Yes,No,No,No,No,Yes,No,No
227,Yes,No,No,No,No,Yes,No,No
228,Yes,No,No,No,No,Yes,No,No
229,Yes,Yes,Yes,Yes,Yes,No,Yes,No
230,Yes,Yes,Yes,Yes,Yes,No,Yes,No
231,Yes,Yes,Yes,No,No,No,Yes,No
232,Yes,Yes,Yes,No,No,No,Yes,No
233,Yes,Yes,Yes,Yes,Yes,No,Yes,No
234,Yes,Yes,Yes,Yes,No,No,Yes,No
235,Yes,No,No,No,No,Yes,No,No
236,Yes,Yes,Yes,No,No,No,No,No
237,Yes,Yes,Yes,Yes,No,No,No,No
238,Yes,Yes,Yes,No,No,No,No,No
239,Yes,Yes,Yes,No,No,No,No,No
240,Yes,No,No,No,No,Yes,No,No
241,Yes,No,No,No,No,Yes,No,No
242,Yes,No,No,No,No,Yes,No,No
243,Yes,No,No,No,No,Yes,No,No
244,Yes,No,No,No,No,Yes,No,No
245,Yes,No,No,No,No,Yes,No,No
246,Yes,Yes,Yes,Yes,Yes,No,Yes,No
247,Yes,No,No,No,No,Yes,No,No
248,Yes,No,No,No,No,Yes,No,No
249,Yes,Yes,Yes,No,No,No,Yes,No
250,Yes,No,No,No,No,Yes,No,No
251,Yes,No,No,No,No,Yes,No,No
252,Yes,No,No,No,No,Yes,No,No
253,Yes,No,No,No,No,Yes,No,No
254,Yes,No,No,No,No,Yes,No,No
255,Yes,No,No,No,No,Yes,No,No
256,Yes,No,No,No,No,Yes,No,No
257,Yes,No,No,No,No,Yes,No,No
258,Yes,No,No,No,No,Yes,No,No
259,Yes,No,No,No,No,Yes,No,No
260,Yes,No,No,No,No,Yes,No,No
261,Yes,Yes,Yes,No,No,No,Yes,No
262,Yes,Yes,Yes,No,No,No,No,No
263,Yes,Yes,Yes,No,No,No,No,No
264,Yes,No,No,No,No,Yes,No,No
265,Yes,No,No,No,No,Yes,No,No
